id,bundle_type,product_id,product_name,price,product_type,unit_in_mb,validity_in_days,type,units_minutes,units_sms,data,data_social,min,min_flex,idd,dial,owner,message_english,message_arabic,ui_product_id,ui_msg_id,offer_type,whitelist,autobonus,channel,product_status,confirmation_message_id,autobonus_autopilot
168,Marhaba World,USG_1120470,Marhaba World 15Minutes to QATAR,1.000,IDD,0.000,7.000,Addon,15.000,0.000,0,0.000,0,0.000,15.000,,Omantel,Don't miss out on the Marhaba World bundle for only 1.0 RO! Stay connected globally with 15.0 IDD minutes. Dial *171# now. Offer by Omantel.,استفد من عرض Marhaba World بسعر 1.0 ر.ع فقط! صالح لمدة 7 أيام للاستخدام الدولي، ومكالمات IDD المجانية لمدة 15 دقيقة. اتصل الآن بـ *171#! شركة Omantel.,8062,774,ATL,yes,offline,SMS,active,,no
110,Combo BTL Monthly,7847,RO4 - 8GB and 200 Minutes,4.000,COMBO,8192.000,28.000,Addon,200.000,0.000,8,0.000,200,0.000,0.000,,Omantel,"""Unleash the power of 8GB Data with Combo BTL Monthly for just 4.0 RO! Stay connected with 200 Min and enjoy the benefits. Dial *171# now! #Omantel""",احصل الآن على باقة Combo BTL Monthly مع 8.0 GB بسعر 4.0 ريال عماني فقط! 200 دقيقة وصلاحية 28 يوم. اتصل بـ *171# الآن! من Omantel.,7847,2557,BTL,yes,online,SMS,inactive,,online
184,Combo BTL Monthly,8854,NBE_Prepaid_RO2_3GB_50MIN_28D,2.000,COMBO,3072.000,28.000,,50.000,0.000,3,0.000,50,,,*171*810#,Omantel,Special Offer for You! Get the 3GB + 50 Minutes bundle valid for 28 days for only 2 Omani Rials (OMR). Dial *171*810# now and enjoy Omantel offers!,عرض خاص لك! باقة 3GB + 50 دقيقة صالحة لـ 28 يوماً بسعر 2.000 ريال عماني فقط. اتصل الآن بـ *171*810# واستمتع بعروض Omantel!,8854,2687,BTL,yes,online,SMS,active,2614,online
44,Combo BTL Monthly,7852,RO16 - 40GB and 1500 Minutes,16.000,COMBO,40960.000,28.000,Addon,1500.000,0.000,40,0.000,1500,0.000,0.000,,Omantel,"Hurry! Grab Omantel's Combo BTL Monthly bundle at just 16.0 RO! Enjoy 40.0 GB Data, 1500 min & more for 28 days. Dial *171# now. Don't miss out!",استمتع بعرض عشوائي! باقة Combo BTL Monthly بـ 16.0 ريال عماني لمدة 28 يوماً تتضمن 40.0 GB و 1500 دقيقة وحقوق اتصال دولية. اتصل الآن *171# مع Omantel.,7852,2562,BTL,yes,online,SMS,inactive,,online
70,Hayyak Plus,USG_1170780,Hayyak Plus 2,2.000,COMBO,1536.000,7.000,Master,35.000,0.000,1.5,0.000,0,35.000,0.000,,Omantel,"Grab the amazing Hayyak Plus bundle for just 2.0 RO! Enjoy 1.5 GB data, 35.0 min, and more with Omantel. Dial *171# now and stay connected!",استفد الآن من باقة Hayyak Plus بسعر 2.0 ريال لمدة 7 أيام! مع 1.5 جيجابايت من البيانات و35 دقيقة مكالمات، *171# هذا هو الحل الأمثل لك! - Omantel,7739,709,ATL,yes,offline,SMS,inactive,,no
90,Hayyak Voice,USG_1121080,Hayyak Voice Add-ons - 300 Min India,2.000,IDD,0.000,30.000,Addon,300.000,0.000,0,0.000,0,0.000,300.000,,Omantel,"""Go unlimited with Hayyak Voice bundle for just 2.1 RO! Enjoy 30 days of IDD calls, 300 min, and more. Dial *171# now. Grab this deal from Omantel today!""",استمتع بعرض مميز! احصل على باقة Hayyak Voice بسعر 2.1 ريال عماني لمدة 30 يوم. تتضمن 300 دقيقة للمكالمات الدولية والكثير من الإمكانيات. اتصل الآن عبر *,7810,698,ATL,yes,offline,SMS,active,,no
92,Marhaba World,USG_1120400,Marhaba World 50Minutes to PAKISTAN,1.000,IDD,0.000,7.000,Addon,50.000,0.000,0,0.000,0,0.000,50.000,,Omantel,Hey there! Get connected globally with Marhaba World bundle for just 1.0 RO! Enjoy 50.0 min of IDD talk time. Dial *171# now! Don't miss out! #Omantel,استمتع بعرض Marhaba World من Omantel بسعر 1.0 ريال لمدة 7 أيام! احصل على 50 دقيقة للمكالمات الدولية واستخدم الإنترنت ومواقع التواصل الاجتماعي. اتصل ال,8069,782,ATL,yes,offline,SMS,active,,no
159,Data BTL Weekly,7856,10 GB Weekly for only RO 4,4.000,DATA,10240.000,7.000,Addon,0.000,0.000,10,0.000,0,0.000,0.000,*171*813#,Omantel,Unleash your digital potential with Data BTL Weekly bundle from Omantel! Get 10.0 GB for just 4.0 RO and stay connected for 7 days. Dial *171*813# today!,استمتع بالعرض الرائع! باقة Data BTL Weekly بسعر 4.0 ريال عماني لمدة 7 أيام. 10.0 جيجابايت لتصفحك. اتصل بـ *171*813# الآن. لا تفوت! - Omantel,7856,2566,BTL,yes,online,SMS,active,,online
47,Marhaba World,USG_1120510,Marhaba World 14Minutes to YEMEN,1.000,IDD,0.000,7.000,Addon,15.000,0.000,0,0.000,0,0.000,15.000,,Omantel,"""Unleash wanderlust with Marhaba World bundle for just 1.0 RO! Stay connected globally for 7 days with 15 min IDD and dial *171#. Grab this deal from Omantel now!""",استمتع بعرض Marhaba World بسعر 1.0 ريال لمدة 7 أيام! تتضمن 15 دقيقة دولية وخدمة Data Social. اتصل الآن بـ *171# من Omantel.,8036,770,ATL,yes,offline,SMS,active,,no
136,Hayyak Plus,USG_1170810,Hayyak Plus 6 old,6.000,COMBO,3072.000,28.000,Master,100.000,0.000,3,1.500,0,100.000,0.000,,Omantel,"Unleash the power of connectivity with Hayyak Plus bundle at just 6.0 RO! Enjoy 3 GB data, 1.5 GB social, 100 min Flexi, and more for 28 days. Dial *171#. Join Omantel now!",استفد من عرض رائع! باقة Hayyak Plus بسعر 6.0 ريال لمدة 28 يوما تتضمن 3GB Data و1.5GB Data Social و100 دقيقة وحدة SMS. *171# - Omantel,7898,707,ATL,yes,offline,SMS,inactive,,no
137,Hayyak Data,USG_1170530,Hayyak Data only 3 GB 5 RO Monthly,5.000,DATA,6144.000,28.000,Master,0.000,0.000,6,0.000,0,0.000,0.000,,Omantel,"Don't miss out on the amazing Hayyak Data bundle for only 5.0 RO! Get 6GB of data, valid for 28 days. Dial *171# now to enjoy this offer from Omantel.",احصل الآن على باقة Hayyak Data بسعر 5.0 ريال عماني فقط لمدة 28 يوم، تتضمن 6 جيجابايت من البيانات! اتصل على *171# لدى Omantel.,7797,726,ATL,yes,offline,SMS,active,,no
162,Marhaba World,USG_1120380,Marhaba World 50Minutes to BANGLADESH,1.000,IDD,0.000,7.000,Addon,50.000,0.000,0,0.000,0,0.000,50.000,,Omantel,"Don't miss out on the incredible Marhaba World bundle for only 1.0 RO! Enjoy 50.0 min of IDD calls, valid for 7.0 days. Dial *171# now! Grab this deal from Omantel!",استفد من عرض مذهل! حزمة Marhaba World بسعر 1.0 ريال عماني لمدة 7 أيام من Omantel. تُتيح لك 50 دقيقة للمكالمات الدولية. اتصل بـ *171# الآن.,8067,779,ATL,yes,offline,SMS,active,,no
186,Combo BTL Monthly,8856,NBE_Prepaid_RO4_10GB_150MIN_28D,4.000,COMBO,10240.000,28.000,,150.000,0.000,10,0.000,150,,,*171*808#,Omantel,Grab an awesome random offer! Get the Omantel Combo BTL Monthly bundle with 10 GB and 150 minutes for only 4.0 OMR valid for 28 days. Dial *171*808# now!, استفد الآن من عرض عشوائي رائع! احصل على باقة Combo BTL الشهرية من Omantel مع 10 جيجابايت و 150 دقيقة بسعر 4.0 ريال عماني فقط لمدة 28 يوماً. اتصل *171*808# الآن!,8856,2685,BTL,yes,online,SMS,active,2616,online
78,Hayyak,USG_1170860,Hayyak Long Validity - 12 weeks,15.000,COMBO,9216.000,84.000,Master,300.000,0.000,9,0.000,300,0.000,0.000,,Omantel,"""Unleash the power of communication with the Hayyak bundle from Omantel! Get 9.0 GB Data, 300 min, all for just 15 RO! Dial *171# now and stay connected for 84 days!""",استمتع بعرض Hayyak بسعر مغري! احصل على 9 GB + 300 دقيقة مكالمات بـ 15 ريال لمدة 84 يوم. اتصل بـ *171# الآن. فرصتك محدودة! - Omantel,7803,1344,ATL,yes,offline,SMS,active,,no
138,MBB Day night,USG_1170040,MBB Day-night promotion - 5 days,1.000,DATA,400.000,30.000,Addon,0.000,0.000,200MB Day+ 200 Night,0.000,0,0.000,0.000,,Omantel,"""Jump into the data universe with our MBB Day night bundle at just 1.0 RO for 30.0 days! Enjoy 200MB Day+ 200 Night GB. Dial *171# now! #Omantel""",استمتع بعرض MBB Day Night بسعر 1.0 ريال عماني فقط! 200MB نهارًا + 200 Night GB. صالحة لمدة 30 يومًا. اتصل ب *171# - Omantel. احصل عليه الآن!,7809,739,ATL,yes,offline,SMS,active,,no
145,Combo BTL Monthly,7848,RO5 - 20GB and 150 Local Minutes,5.000,COMBO,20480.000,28.000,Addon,150.000,0.000,20,0.000,150,0.000,0.000,*171*815#,Omantel,"Don't miss out on this incredible deal! Get Combo BTL Monthly for just 5.0 RO with 20.0 GB data, 150 min, and more! Dial *171*815# now and enjoy with Omantel.",استمتع بعرض عشوائي! احصل على باقة Combo BTL Monthly من Omantel بسعر 5.0 RO فقط. تتضمن 20.0 جيجابايت و 150 دقيقة. اتصل بـ *171*815# الآن!,7848,2558,BTL,yes,online,SMS,active,,online
149,MBB Day night,USG_1170090,MBB Day night promotion - 20 days,10.000,DATA,6144.000,30.000,Addon,0.000,0.000,3GB Day+ 3GB Night,0.000,0,0.000,0.000,,Omantel,Don't miss out on this amazing deal! Get 3GB Day + 3GB Night Data for only 10.0 RO with Omantel's MBB Day night bundle. Dial *171# now!,استمتع بعرض MBB Day night بسعر 10.0 ريال عُماني! 6GB للنهار والليل. صالح لمدة 30 يوما. اتصالات داتا رائعة من Omantel. اتصل الآن على *171#,7816,738,ATL,yes,offline,SMS,active,,no
191,Combo BTL Monthly,8861,NBE_Prepaid_RO12_30GB_500MIN_28D,12.000,COMBO,30720.000,28.000,,500.000,0.000,30,0.000,500,,,*171*803#,Omantel,Benefit now from a fantastic offer! A monthly Combo BTL bundle for only 12.0 Omani Rials (OMR) for 28 days. Enjoy 30 GB of data and 500 local calling minutes! Dial *171*803# now and benefit from our incredible deals.,استفد الآن من عرض رائع! باقة Combo BTL شهرية بسعر 12.0 ريال عماني فقط لمدة 28 يوماً. استمتع بـ 30 جيجابايت و 500 دقيقة مكالمات محلية! اتصل بـ *171*803# الآن واستفد من عروضنا المذهلة.,8861,2680,BTL,yes,online,SMS,active,2621,online
175,Data Loan,USG_1140750,Data Loan - 50MB - 1 Day,0.200,DATA,512.000,1.000,Addon,0.000,0.000,0.5,0.000,0,0.000,0.000,,Omantel,"""",احصل على عرض استعارة البيانات العشوائية من Omantel الآن! 0.21 ريال لـ 0.5 جيجابايت لمدة يوم واحد. اتصل على *171# واستفد من العرض.,8022,756,ATL,yes,offline,SMS,active,,no
177,Hayyak Plus,USG_1171450,Hayyak Plus 5,5.000,COMBO,3584.000,28.000,Master,50.000,0.000,3.5,1.500,50,0.000,0.000,*666*5#,omantel,"Get more for less! The Hayyak Plus 5 pack gives you 5GB of data, 50 National Minutes, and 28 days of validity for only 5 RO. It's the ultimate mobile deal! Grab yours by dialing *666*5#!",احصل على المزيد بأقل سعر! باقة حياك بلس 5 تمنحك 5 جيجابايت بيانات، و 50 دقيقة وطنية، وصلاحية 28 يومًا مقابل 5 ريالات عمانية فقط. إنها أفضل صفقة على الإطلاق! سارع بالاشتراك عبر طلب #5*666* الآن!,8882,2594,ATL,yes,offline,SMS,active,,no
54,Combo BTL Monthly,7845,RO3 - 6GB and 100 Minutes,3.000,COMBO,6144.000,28.000,Addon,100.000,0.000,6,0.000,100,0.000,0.000,,Omantel,"Don't miss out on this amazing deal! Get Combo BTL Monthly bundle for only 3.0 RO. Enjoy 6.0GB Data, 100 min, and more! Dial *171# now. Only with Omantel!",استغل عرضنا العشوائي! باقة Combo BTL شهرية بسعر 3.0 ر.ع تمنحك 6.0 GB و 100 دقيقة وصولات! العرض ساري لمدة 28 يوما مع Omantel. اتصل عبر *171# الآن!,7845,2555,BTL,yes,online,SMS,inactive,,online
174,Hayyak Data,USG_1170520,Hayyak Data only 1.5 GB 3 RO Monthly,3.000,DATA,3072.000,28.000,Master,0.000,0.000,3,0.000,0,0.000,0.000,,Omantel,"Get hooked up with Hayyak Data bundle for just 3.0 RO! Enjoy 3 GB data, valid for 28 days. Dial *171# now and seize this deal from Omantel.",احصل على حزمة Hayyak Data الرائعة بسعر 3.0 ريال عُماني لمدة 28 يومًا! 3 جيجابايت لتصفح الإنترنت. اتصل بـ*171# الآن واستفد! - Omantel,7830,725,ATL,yes,offline,SMS,active,,no
45,Tourist,USG_1141430,Tourist Pack 1GB 1 Day,15.000,COMBO,0.000,1.000,Master,0.000,0.000,0,0.000,0,0.000,0.000,,Omantel,"Ready for a random adventure? Get the Tourist bundle from Omantel for only 15.0 RO! Enjoy Data, Data Social, Min, Min Flexi, IDD, unit_sms. Dial *171# now!",لا تفوت فرصة عرض السائح الرائع! باقة COMBO من Omantel بسعر 15.0 ريال عماني فقط لمدة يوم واحد. اتصالات داتا، داتا اجتماعي، رسائل ومكالمات دولية. اتص,7835,724,ATL,yes,offline,SMS,active,,no
120,Marhaba World,USG_1120450,Marhaba World 15Minutes to UAE,1.000,IDD,0.000,7.000,Addon,15.000,0.000,0,0.000,0,0.000,15.000,,Omantel,"Unleash your inner wanderlust with Marhaba World bundle for just 1.0 RO! Enjoy 7 days of IDD calls, 15 min IDD & more. Dial *171# now. Only from Omantel.","احصل الآن على باقة ""Marhaba World"" من Omantel بسعر 1.0 RO فقط! تضم 15.0 دقيقة للمكالمات الدولية والمزيد. اتصل عبر *171# واستفد اليوم!",8064,776,ATL,yes,offline,SMS,active,,no
95,UAE IDD,USG_1121390,UAE - 100 Minutes - Weekly Pack,1.000,IDD,0.000,7.000,Addon,100.000,0.000,0,0.000,0,0.000,100.000,,Omantel,Grab this amazing deal! Get 100.0 min IDD calls to UAE for just 1.05 RO. Stay connected with Omantel's IDD bundle. Dial *171# now. #StayConnected #SpecialOffer,إتصل بالعالم برقم Dial *171# واحصل على باقة UAE IDD رائعة بسعر 1.05 ريال عُماني فقط! استمتع بـ 100 دقيقة للمكالمات الدولية وإستمرارية لمدة 7 أيام. احصل,8053,793,ATL,yes,offline,SMS,active,,no
51,Combo BTL Monthly,7908,RO2 - 3GB and 50 Minutes,2.000,COMBO,3072.000,28.000,Addon,50.000,0.000,3,0.000,50,0.000,0.000,,Omantel,"""Unleash the power of connectivity with our Combo BTL Monthly bundle only for 2.0 RO! Enjoy 3.0 GB Data, 50 min Min, and more. Dial *171#. Only from Omantel!""",استمتع بعرض عشوائي رائع! باقة Combo BTL الشهرية من Omantel بسعر 2.0 ر.ع، 3.0GB، 50 دقيقة وصلاحية 28 يوم. لا تضيع الفرصة! *171#,7908,2579,BTL,yes,online,SMS,inactive,,online
151,Hayyak,USG_1170740,Hayyak 7 OR,7.000,COMBO,10240.000,30.000,Master,210175.000,0.000,10,0.000,210175,0.000,0.000,,Omantel,"Unleash the magic of connectivity with Hayyak bundle for just 7 RO! Get 10.0 GB Data, 210175 min, COMBO package, valid for 30 days. Dial *171# now! Don't miss out.",احصل على باقة Hayyak الرائعة بسعر مذهل 7 ر.ع، تشمل 10.0 جيجابايت و 210175 دقيقة وصول لمدة 30 يوماً. إطلبها الآن بالطلب *171# من Omantel.,7800,1342,ATL,yes,offline,SMS,inactive,,no
67,Hayyak Data,USG_1140930,Hayyak 250 MB 0.500 Bz Daily,0.500,DATA,256.000,1.000,Addon,0.000,0.000,0.25,0.000,0,0.000,0.000,,Omantel,"Don't miss out on the Hayyak Data bundle for just 0.525 RO! Enjoy 0.25 GB of data, social media, mins & more. Dial *171# now. Grab the deal from Omantel!",احصل على باقة Hayyak Data بسعر مذهل 0.525 ريال عماني لمدة يوم واحد! 0.25 جيجابايت من البيانات لتستمتع بتصفحك. اتصل على *171# الآن. من Omantel.,8023,757,ATL,yes,offline,SMS,active,,no
104,Jawazak,USG_1140280,Jawazak World 3Days,12.000,ROAMING,1024.000,3.000,Addon,0.000,0.000,1,0.000,0,0.000,0.000,,Omantel,"Unleash the wanderlust in you with Jawazak bundle for just 12.6 RO! Enjoy roaming with Data, Data Social, Min, Min Flexi, IDD, unit_sms. Dial *171#. Don't miss out!",أسرع واحصل على باقة جوازك بسعر 12.6 ريال عماني فقط! صالحة لمدة 3 أيام، تتضمن بيانات، داتا اجتماعية، دقائق، مكالمات دولية، ورسائل نصية. ات,7883,732,ATL,yes,offline,SMS,active,,no
141,Hayyak BTL,7863,Monthly 12GB and 150 Flexi minutes,7.000,COMBO,12288.000,28.000,Addon,150.000,0.000,12,0.000,150,0.000,0.000,*171*816#,Omantel,"""Surprise yourself with Hayyak BTL bundle at just 7.0 RO! Get 12.0 GB data, 150 min, and more. Dial *171*816# now! Don't miss out on this amazing deal by Omantel.""",احصل على باقة هياك BTL بسعر 7.0 ريال عماني فقط! 12.0 غيغابايت بيانات، 150 دقيقة وصول دولية، لمدة 28 يومًا. اتصل ب*171*816# الآن. امنح نفسك الم,7863,2572,BTL,yes,online,SMS,active,,online
61,Hayyak Voice,USG_1121350,Hayyak Voice Only,7.000,NV,0.000,28.000,Master,999999.000,0.000,0,0.000,999999,0.000,0.000,,Omantel,Unleash unlimited talk time with Hayyak Voice bundle for just 7.0 RO! Enjoy 28 days of non-stop chatting. Dial *171# now and connect with Omantel.,استمتع بعرض Hayyak Voice الشهري بسعر 7.0 ريال عماني فقط! احصل على مكالمات غير محدودة لمدة 28 يوما. اتصل الآن عبر *171#. احصل على حزمة البيانات والمكال,8045,750,ATL,yes,offline,SMS,active,,no
77,Hayyak Plus,USG_1170790,Hayyak Plus 4,4.000,COMBO,2560.000,28.000,Master,50.000,0.000,2.5,0.000,50,0.000,0.000,,Omantel,"""Unlock endless possibilities with Hayyak Plus! For just 4 RO, get 2.5GB data, 50 min, and more for 28 days. Dial *171# now. Don't miss out! #Omantel""",استمتع بعرض استثنائي! باقة Hayyak Plus من Omantel بسعر 4 ريال لمدة 28 يومًا. تتضمن 2.5 جيجابايت انترنت، 50 دقيقة وباقة SMS. اتصل بـ *171# الآن,7736,1343,ATL,yes,offline,SMS,inactive,,no
132,Combo BTL Monthly,7842,RO1 - 1GB and 30 Minutes,1.000,COMBO,1024.000,28.000,Addon,30.000,0.000,1,0.000,30,0.000,0.000,,Omantel,"Grab the Combo BTL Monthly bundle for just 1.0 RO with 1.0 GB Data, 30 Min talk time, 28 days validity. Dial *171# now, only from Omantel. Don't miss out!",استمتع بعرض عشوائي رائع! باقة Combo BTL Monthly بسعر 1.0 ريال عماني لمدة 28 يوم، تتضمن 1.0 جيجابايت و 30 دقيقة ودقائق مرنة ومكالمات دولية. اتصل,7842,2553,BTL,yes,online,SMS,inactive,,online
188,Combo BTL Monthly,8858,NBE_Prepaid_RO6_15GB_300MIN_28D,6.000,COMBO,15360.000,28.000,,300.000,0.000,15,0.000,300,,,*171*806#,Omantel,Enjoy a special offer! Get the Prepaid Combo Bundle for only 6.0 Omani Rials (OMR) for 28 days. This fantastic offer includes 15 GB of data and 300 minutes. Dial *171*806# now!,استمتع بعرض خاص! احصل على باقة كومبو مسبقة الدفع بسعر 6.0 ريال عماني فقط لمدة 28 يوماً. يشمل العرض الرائع 15 جيجابايت من البيانات و 300 دقيقة. اتصل بـ *171*806# الآن!,8858,2683,BTL,yes,online,SMS,active,2618,online
76,UAE IDD,USG_1121410,UAE - 1500 Minutes - Monthly Pack,5.000,IDD,0.000,30.000,Addon,1500.000,0.000,0,0.000,0,0.000,1500.000,,Omantel,"Grab the UAE IDD bundle for 5.25 RO! Enjoy 1500 min IDD, 30 days validity. Dial *171# now. Don't miss out on this deal from Omantel! #TalkMoreSaveMore",احصل على باقة UAE IDD بسعر رائع 5.25 RO لمدة 30 يوماً! اتصالات إلى الإمارات 1500 دقيقة! اتصل الآن باستخدام *171#. لا تفوتها! - Omantel,8056,796,ATL,yes,offline,SMS,active,,no
100,Marhaba World,USG_1120560,Marhaba World 12Minutes to KENYA,1.000,IDD,0.000,7.000,Addon,12.000,0.000,0,0.000,0,0.000,12.000,,Omantel,"""Step into the global zone with Marhaba World bundle at just 1.0 RO! Enjoy 12 min IDD calls, data, social, and more for 7 days. Dial *171# now - offer by Omantel!""",استمتع بعرض Marhaba World! فقط بسعر 1.0 ر.ع لمدة 7 أيام. تتضمن 12 دقيقة للمكالمات الدولية. اطلب العرض الآن *171# من Omantel.,8032,766,ATL,yes,offline,SMS,active,,no
84,Hayyak BTL,7866,Monthly 18GB and 250 Flexi minutes,10.000,COMBO,18432.000,28.000,Addon,250.000,0.000,18,0.000,250,0.000,0.000,*171*829#,Omantel,"Unlock the perfect bundle with Hayyak BTL! Get 18.0 GB, 250 min, all for just 10.0 RO. Valid for 28 days. Dial *171*829# now and seize this deal from Omantel!",احصل على باقة Hayyak BTL بسعر 10.0 ريال عُماني فقط! تتضمن 18.0 جيجابايت من البيانات و 250 دقيقة للاستخدام اليومي والربط الدولي. اتصل ب *171*829# الآن واست,7866,2574,BTL,yes,online,SMS,active,,online
