product_id,product_name,price,month,number_of_purchases,unique_customers,total_revenue,arpu
USG_1120420,Marhaba World 14Minutes to SRI LANKA,1,2026-08,161,79,157.4776,1.99338734
USG_1120430,Marhaba World 15Minutes to PHILIPPINES,1,2026-03,225,73,218.7168,2.99612055
USG_1120430,Marhaba World 15Minutes to PHILIPPINES,1,2026-04,176,72,172.0016,2.38891111
USG_1120430,Marhaba World 15Minutes to PHILIPPINES,1,2026-05,188,71,183.1448,2.57950423
USG_1120430,Marhaba World 15Minutes to PHILIPPINES,1,2026-06,146,65,142.0016,2.18464
USG_1120430,Marhaba World 15Minutes to PHILIPPINES,1,2026-07,157,68,152.0256,2.23567059
USG_1120430,Marhaba World 15Minutes to PHILIPPINES,1,2026-08,130,67,126.5252,1.88843582
USG_1120440,Marhaba World 11Minutes to ETHIOPIA,1,2026-03,6506,2218,6265.1683,2.82469265
USG_1120440,Marhaba World 11Minutes to ETHIOPIA,1,2026-04,5337,1863,5139.7405,2.75885158
USG_1120440,Marhaba World 11Minutes to ETHIOPIA,1,2026-05,6632,2228,6376.1933,2.86184618
USG_1120440,Marhaba World 11Minutes to ETHIOPIA,1,2026-06,4553,1747,4385.861,2.51051002
USG_1120440,Marhaba World 11Minutes to ETHIOPIA,1,2026-07,4465,1712,4300.9101,2.51221384
USG_1120440,Marhaba World 11Minutes to ETHIOPIA,1,2026-08,3367,1440,3240.4182,2.25029042
USG_1120450,Marhaba World 15Minutes to UAE,1,2026-03,578,354,573.0972,1.61891864
USG_1120450,Marhaba World 15Minutes to UAE,1,2026-04,419,259,414.478,1.60030116
USG_1120450,Marhaba World 15Minutes to UAE,1,2026-05,563,337,556.7168,1.65197864
USG_1120450,Marhaba World 15Minutes to UAE,1,2026-06,496,280,489.8076,1.74931286
USG_1120450,Marhaba World 15Minutes to UAE,1,2026-07,532,300,525.7644,1.752548
USG_1120450,Marhaba World 15Minutes to UAE,1,2026-08,455,270,448.9072,1.66261926
USG_1120460,Marhaba World 15Minutes to SAUDI ARABIA,1,2026-03,387,285,379.0508,1.33000281
USG_1120460,Marhaba World 15Minutes to SAUDI ARABIA,1,2026-04,378,260,368.48,1.41723077
USG_1120460,Marhaba World 15Minutes to SAUDI ARABIA,1,2026-05,435,309,422.1432,1.36615922
USG_1120460,Marhaba World 15Minutes to SAUDI ARABIA,1,2026-06,429,291,416.2432,1.430389
USG_1120460,Marhaba World 15Minutes to SAUDI ARABIA,1,2026-07,369,245,359.956,1.46920816
USG_1120460,Marhaba World 15Minutes to SAUDI ARABIA,1,2026-08,366,255,356.4325,1.39777451
USG_1120470,Marhaba World 15Minutes to QATAR,1,2026-03,109,67,107.0008,1.59702687
USG_1120470,Marhaba World 15Minutes to QATAR,1,2026-04,94,52,91.9287,1.76785962
USG_1120470,Marhaba World 15Minutes to QATAR,1,2026-05,112,69,109.4296,1.58593623
USG_1120470,Marhaba World 15Minutes to QATAR,1,2026-06,98,65,95.5248,1.46961231
USG_1120470,Marhaba World 15Minutes to QATAR,1,2026-07,75,50,73.572,1.47144
USG_1120470,Marhaba World 15Minutes to QATAR,1,2026-08,71,47,69.3768,1.47610213
USG_1120480,Marhaba World 15Minutes to KUWAIT,1,2026-03,14,13,13.8096,1.06227692
USG_1120480,Marhaba World 15Minutes to KUWAIT,1,2026-04,21,16,20.5716,1.285725
USG_1120480,Marhaba World 15Minutes to KUWAIT,1,2026-05,29,19,28.1908,1.48372632
USG_1120480,Marhaba World 15Minutes to KUWAIT,1,2026-06,24,19,23.1432,1.21806316
USG_1120480,Marhaba World 15Minutes to KUWAIT,1,2026-07,30,16,29.6192,1.8512
USG_1120480,Marhaba World 15Minutes to KUWAIT,1,2026-08,22,14,21.762,1.55442857
USG_1120490,Marhaba World 15Minutes to BAHRAIN,1,2026-03,14,10,13.6668,1.36668
USG_1120490,Marhaba World 15Minutes to BAHRAIN,1,2026-04,15,9,14.762,1.64022222
USG_1120490,Marhaba World 15Minutes to BAHRAIN,1,2026-05,31,15,30.6192,2.04128
USG_1120490,Marhaba World 15Minutes to BAHRAIN,1,2026-06,22,12,21.524,1.79366667
USG_1120490,Marhaba World 15Minutes to BAHRAIN,1,2026-07,20,13,19.3812,1.49086154
USG_1120490,Marhaba World 15Minutes to BAHRAIN,1,2026-08,16,11,15.6668,1.42425455
USG_1120500,Marhaba World 17Minutes to EGYPT,1,2026-03,1380,649,1344.8712,2.07222065
USG_1120500,Marhaba World 17Minutes to EGYPT,1,2026-04,1245,599,1210.3556,2.02062705
USG_1120500,Marhaba World 17Minutes to EGYPT,1,2026-05,1542,764,1499.3417,1.96248914
USG_1120500,Marhaba World 17Minutes to EGYPT,1,2026-06,1218,588,1184.1996,2.0139449
USG_1120500,Marhaba World 17Minutes to EGYPT,1,2026-07,1108,481,1077.8441,2.24084012
USG_1120500,Marhaba World 17Minutes to EGYPT,1,2026-08,1022,468,990.9146,2.11733889
USG_1120510,Marhaba World 14Minutes to YEMEN,1,2026-03,5791,1943,5713.7473,2.94068312
USG_1120510,Marhaba World 14Minutes to YEMEN,1,2026-04,4901,1635,4829.5255,2.95383823
USG_1120510,Marhaba World 14Minutes to YEMEN,1,2026-05,5777,1898,5696.8341,3.0014932
USG_1120510,Marhaba World 14Minutes to YEMEN,1,2026-06,4643,1583,4574.4281,2.88972085
USG_1120510,Marhaba World 14Minutes to YEMEN,1,2026-07,5066,1655,4997.2846,3.01950731
USG_1120510,Marhaba World 14Minutes to YEMEN,1,2026-08,3659,1459,3603.8744,2.47009897
USG_1120520,Marhaba World 8Minutes to  TANZANIA,1,2026-03,1083,402,1063.1032,2.64453532
USG_1120520,Marhaba World 8Minutes to  TANZANIA,1,2026-04,913,347,895.9876,2.58209683
USG_1120520,Marhaba World 8Minutes to  TANZANIA,1,2026-05,983,345,965.1395,2.7975058
USG_1120520,Marhaba World 8Minutes to  TANZANIA,1,2026-06,906,328,889.0068,2.71038659
USG_1120520,Marhaba World 8Minutes to  TANZANIA,1,2026-07,900,309,880.96,2.85100324
USG_1120520,Marhaba World 8Minutes to  TANZANIA,1,2026-08,683,268,669.1936,2.49699104
USG_1120530,Marhaba World 13Minutes to SUDAN,1,2026-03,3289,1194,3201.2329,2.68109958
USG_1120530,Marhaba World 13Minutes to SUDAN,1,2026-04,2670,1012,2591.6504,2.56091937
USG_1120530,Marhaba World 13Minutes to SUDAN,1,2026-05,3028,1146,2939.5382,2.56504206
USG_1120530,Marhaba World 13Minutes to SUDAN,1,2026-06,2501,987,2425.2684,2.45721216
USG_1120530,Marhaba World 13Minutes to SUDAN,1,2026-07,2495,944,2416.46,2.55980932
USG_1120530,Marhaba World 13Minutes to SUDAN,1,2026-08,1882,806,1823.69,2.26264268
USG_1120540,Marhaba World 13Minutes to IRAN,1,2026-03,203,176,198.5256,1.12798636
USG_1120540,Marhaba World 13Minutes to IRAN,1,2026-04,106,87,102.9536,1.18337471
USG_1120540,Marhaba World 13Minutes to IRAN,1,2026-05,308,132,296.9568,2.24967273
USG_1120540,Marhaba World 13Minutes to IRAN,1,2026-06,286,106,279.2408,2.63434717
USG_1120540,Marhaba World 13Minutes to IRAN,1,2026-07,251,110,243.2412,2.21128364
USG_1120540,Marhaba World 13Minutes to IRAN,1,2026-08,141,81,136.1448,1.6808
USG_1120550,Marhaba World 6Minutes to  MOROCCO,1,2026-03,17,14,16.6192,1.18708571
USG_1120550,Marhaba World 6Minutes to  MOROCCO,1,2026-04,23,18,22.524,1.25133333
USG_1120550,Marhaba World 6Minutes to  MOROCCO,1,2026-05,27,20,26.2384,1.31192
USG_1120550,Marhaba World 6Minutes to  MOROCCO,1,2026-06,15,13,14.4764,1.11356923
USG_1120550,Marhaba World 6Minutes to  MOROCCO,1,2026-07,15,11,14.4764,1.31603636
USG_1120550,Marhaba World 6Minutes to  MOROCCO,1,2026-08,16,10,15.524,1.5524
USG_1120560,Marhaba World 12Minutes to KENYA,1,2026-03,104,50,103.2384,2.064768
USG_1120560,Marhaba World 12Minutes to KENYA,1,2026-04,93,40,91.8962,2.297405
USG_1120560,Marhaba World 12Minutes to KENYA,1,2026-05,89,36,87.7148,2.43652222
USG_1120560,Marhaba World 12Minutes to KENYA,1,2026-06,85,40,84.3812,2.10953
USG_1120560,Marhaba World 12Minutes to KENYA,1,2026-07,102,36,101.048,2.80688889
USG_1120560,Marhaba World 12Minutes to KENYA,1,2026-08,75,34,73.7148,2.16808235
USG_1120920,UAE Etisalat 1 Day Pack,1,2026-03,282,116,282.5,2.43534483
USG_1120920,UAE Etisalat 1 Day Pack,1,2026-04,219,77,219,2.84415584
USG_1120920,UAE Etisalat 1 Day Pack,1,2026-05,249,99,249,2.51515152
USG_1120920,UAE Etisalat 1 Day Pack,1,2026-06,209,75,208.0756,2.77434133
USG_1120920,UAE Etisalat 1 Day Pack,1,2026-07,216,84,216,2.57142857
USG_1120920,UAE Etisalat 1 Day Pack,1,2026-08,165,58,164.8925,2.84297414
USG_1120940,UAE Etisalat 30 Days Pack,5,2026-03,70,61,350.75,5.75
USG_1120940,UAE Etisalat 30 Days Pack,5,2026-04,66,58,330,5.68965517
USG_1120940,UAE Etisalat 30 Days Pack,5,2026-05,71,62,355,5.72580645
USG_1120940,UAE Etisalat 30 Days Pack,5,2026-06,62,54,310,5.74074074
USG_1120940,UAE Etisalat 30 Days Pack,5,2026-07,56,50,278.1962,5.563924
USG_1120940,UAE Etisalat 30 Days Pack,5,2026-08,47,45,235,5.22222222
USG_1121070,Hayyak Voice Add-ons - 300 Min Bangladesh,2,2026-03,14,12,24.1,2.00833333
USG_1121070,Hayyak Voice Add-ons - 300 Min Bangladesh,2,2026-04,17,15,34,2.26666667
USG_1121070,Hayyak Voice Add-ons - 300 Min Bangladesh,2,2026-05,15,15,28,1.86666667
USG_1121070,Hayyak Voice Add-ons - 300 Min Bangladesh,2,2026-06,20,20,36.5914,1.82957
USG_1121070,Hayyak Voice Add-ons - 300 Min Bangladesh,2,2026-07,22,20,40,2
USG_1121070,Hayyak Voice Add-ons - 300 Min Bangladesh,2,2026-08,21,18,34.6162,1.92312222
USG_1121080,Hayyak Voice Add-ons - 300 Min India,2,2026-03,308,261,611.015,2.34105364
USG_1121080,Hayyak Voice Add-ons - 300 Min India,2,2026-04,331,266,658.0538,2.47388647
USG_1121080,Hayyak Voice Add-ons - 300 Min India,2,2026-05,370,285,734,2.5754386
USG_1121080,Hayyak Voice Add-ons - 300 Min India,2,2026-06,277,224,552,2.46428571
USG_1121080,Hayyak Voice Add-ons - 300 Min India,2,2026-07,359,279,714,2.55913978
USG_1121080,Hayyak Voice Add-ons - 300 Min India,2,2026-08,272,217,544,2.50691244
USG_1121090,Hayyak Voice Add-ons - 100 Min Pakistan,2,2026-03,35,21,70.1,3.33809524
USG_1121090,Hayyak Voice Add-ons - 100 Min Pakistan,2,2026-04,47,35,90.0584,2.57309714
USG_1121090,Hayyak Voice Add-ons - 100 Min Pakistan,2,2026-05,31,26,58,2.23076923
USG_1121090,Hayyak Voice Add-ons - 100 Min Pakistan,2,2026-06,35,23,68,2.95652174
USG_1121090,Hayyak Voice Add-ons - 100 Min Pakistan,2,2026-07,15,13,28,2.15384615
USG_1121090,Hayyak Voice Add-ons - 100 Min Pakistan,2,2026-08,12,10,24,2.4
USG_1121350,Hayyak Voice Only,7,2026-03,5567,5246,35210.8654,6.71194537
USG_1121350,Hayyak Voice Only,7,2026-04,5565,5163,34754.5945,6.73147288
USG_1121350,Hayyak Voice Only,7,2026-05,5501,5080,34173.927,6.72715098
USG_1121350,Hayyak Voice Only,7,2026-06,5351,5175,32794.8664,6.33717225
USG_1121350,Hayyak Voice Only,7,2026-07,5485,5219,33711.133,6.45930887
USG_1121350,Hayyak Voice Only,7,2026-08,4756,4738,29183.0681,6.15936431
USG_1121390,UAE - 100 Minutes - Weekly Pack,1,2026-03,1367,909,1367.905,1.50484598
USG_1121390,UAE - 100 Minutes - Weekly Pack,1,2026-04,1097,713,1090.7266,1.52977083
USG_1121390,UAE - 100 Minutes - Weekly Pack,1,2026-05,1190,799,1187.084,1.48571214
USG_1121390,UAE - 100 Minutes - Weekly Pack,1,2026-06,1040,704,1035.5366,1.47093267
USG_1121390,UAE - 100 Minutes - Weekly Pack,1,2026-07,1347,936,1334.994,1.42627564
USG_1121390,UAE - 100 Minutes - Weekly Pack,1,2026-08,1035,794,1032.525,1.30040932
USG_1121400,UAE - Unlimited - Weekly Pack,3.05,2026-03,104,73,312.6,4.28219178
USG_1121400,UAE - Unlimited - Weekly Pack,3.05,2026-04,125,92,375,4.07608696
USG_1121400,UAE - Unlimited - Weekly Pack,3.05,2026-05,150,121,448.9816,3.71059174
USG_1121400,UAE - Unlimited - Weekly Pack,3.05,2026-06,147,109,435.6096,3.99641835
USG_1121400,UAE - Unlimited - Weekly Pack,3.05,2026-07,196,150,584.5747,3.89716467
USG_1121400,UAE - Unlimited - Weekly Pack,3.05,2026-08,123,93,365.3113,3.92807849
USG_1121410,UAE - 1500 Minutes - Monthly Pack,5,2026-03,133,129,665.75,5.16085271
USG_1121410,UAE - 1500 Minutes - Monthly Pack,5,2026-04,131,121,655,5.41322314
USG_1121410,UAE - 1500 Minutes - Monthly Pack,5,2026-05,135,133,667.6924,5.02024361
USG_1121410,UAE - 1500 Minutes - Monthly Pack,5,2026-06,146,138,728.15,5.27644928
USG_1121410,UAE - 1500 Minutes - Monthly Pack,5,2026-07,155,151,771.3,5.10794702
USG_1121410,UAE - 1500 Minutes - Monthly Pack,5,2026-08,122,119,609.15,5.11890756
USG_1121440,Weekly 50 National Minutes plan ? 7 days,0.5,2026-03,27240,10679,12773.7083,1.1961521
USG_1121440,Weekly 50 National Minutes plan ? 7 days,0.5,2026-04,32372,13006,15140.2565,1.16409784
USG_1121440,Weekly 50 National Minutes plan ? 7 days,0.5,2026-05,38237,15075,17827.7595,1.18260428
USG_1121440,Weekly 50 National Minutes plan ? 7 days,0.5,2026-06,37840,15788,17537.4095,1.11080628
USG_1121440,Weekly 50 National Minutes plan ? 7 days,0.5,2026-07,36311,15091,16639.0745,1.10258263
USG_1121440,Weekly 50 National Minutes plan ? 7 days,0.5,2026-08,32242,14961,14809.9712,0.98990517
USG_1121450,Monthly 50 National Minutes plan- 28 days,1,2026-03,18094,13536,16818.9389,1.2425339
USG_1121450,Monthly 50 National Minutes plan- 28 days,1,2026-04,15235,11213,13985.4229,1.24725077
USG_1121450,Monthly 50 National Minutes plan- 28 days,1,2026-05,16372,11773,15083.8764,1.28122623
USG_1121450,Monthly 50 National Minutes plan- 28 days,1,2026-06,15531,11765,14245.8004,1.21086276
USG_1121450,Monthly 50 National Minutes plan- 28 days,1,2026-07,17682,13251,16069.7253,1.21271793
USG_1121450,Monthly 50 National Minutes plan- 28 days,1,2026-08,14262,11465,12980.7523,1.13220692
USG_1121460,Monthly 150 National Minutes plan- 28 days,2,2026-03,8252,7211,15461.9747,2.14422059
USG_1121460,Monthly 150 National Minutes plan- 28 days,2,2026-04,9119,7590,17018.2375,2.24219203
USG_1121460,Monthly 150 National Minutes plan- 28 days,2,2026-05,9545,7842,17886.5047,2.28086007
USG_1121460,Monthly 150 National Minutes plan- 28 days,2,2026-06,9000,7838,16828.8361,2.14708294
USG_1121460,Monthly 150 National Minutes plan- 28 days,2,2026-07,9809,8282,18275.6519,2.20667132
USG_1121460,Monthly 150 National Minutes plan- 28 days,2,2026-08,8184,7257,15233.3263,2.09912172
USG_1121470,Monthly 300 National Minutes plan- 28 days,3,2026-03,10432,8782,29587.9383,3.36915717
USG_1121470,Monthly 300 National Minutes plan- 28 days,3,2026-04,10034,8082,28332.4532,3.505624
USG_1121470,Monthly 300 National Minutes plan- 28 days,3,2026-05,11325,9020,31959.5433,3.54318662
USG_1121470,Monthly 300 National Minutes plan- 28 days,3,2026-06,10823,8989,30478.5656,3.39065142
USG_1121470,Monthly 300 National Minutes plan- 28 days,3,2026-07,11061,9037,30972.7212,3.42732336
USG_1121470,Monthly 300 National Minutes plan- 28 days,3,2026-08,9272,8048,25947.387,3.2240789
USG_1130010,100 SMS Pack,0.75,2026-03,75,12,56.325,4.69375
USG_1130010,100 SMS Pack,0.75,2026-04,67,7,50.25,7.17857143
USG_1130010,100 SMS Pack,0.75,2026-05,50,11,37.5,3.40909091
USG_1130010,100 SMS Pack,0.75,2026-06,26,11,19.5,1.77272727
USG_1130010,100 SMS Pack,0.75,2026-07,56,11,42,3.81818182
USG_1130010,100 SMS Pack,0.75,2026-08,21,7,15.75,2.25
USG_1130020,250 SMS Pack,1.75,2026-03,5,2,8.75,4.375
USG_1130020,250 SMS Pack,1.75,2026-04,4,2,7,3.5
USG_1130020,250 SMS Pack,1.75,2026-05,4,2,7,3.5
USG_1130020,250 SMS Pack,1.75,2026-06,7,3,12.25,4.08333333
USG_1130020,250 SMS Pack,1.75,2026-07,7,2,12.25,6.125
USG_1130020,250 SMS Pack,1.75,2026-08,9,2,15.75,7.875
USG_1140010,MBB 1GB Daily,1,2026-03,122227,40868,116798.0645,2.85793444
USG_1140010,MBB 1GB Daily,1,2026-04,122218,41123,116031.8417,2.82158018
USG_1140010,MBB 1GB Daily,1,2026-05,119039,39914,113258.0405,2.83755175
USG_1140010,MBB 1GB Daily,1,2026-06,107401,37696,102105.8609,2.70866566
USG_1140010,MBB 1GB Daily,1,2026-07,118859,40135,113507.3694,2.82813926
USG_1140010,MBB 1GB Daily,1,2026-08,92494,34003,88326.2919,2.59760291
USG_1140080,MBB 50MB Daily,0.2,2026-03,33960,7989,6798.9191,0.85103506
USG_1140080,MBB 50MB Daily,0.2,2026-04,33917,7909,6782.6,0.85757997
USG_1140080,MBB 50MB Daily,0.2,2026-05,33925,7784,6783.9212,0.87152122
USG_1140080,MBB 50MB Daily,0.2,2026-06,29789,7335,5956.989,0.81213211
USG_1140080,MBB 50MB Daily,0.2,2026-07,32408,7428,6481.1831,0.87253407
USG_1140080,MBB 50MB Daily,0.2,2026-08,28456,6518,5691,0.87312059
USG_1140280,Jawazak World 3Days,12,2026-03,0,0,0,0
USG_1140280,Jawazak World 3Days,12,2026-04,0,0,0,0
USG_1140280,Jawazak World 3Days,12,2026-05,0,0,0,0
USG_1140280,Jawazak World 3Days,12,2026-06,0,0,0,0
USG_1140280,Jawazak World 3Days,12,2026-07,0,0,0,0
USG_1140280,Jawazak World 3Days,12,2026-08,0,0,0,0
USG_1140420,Weekly 1GB Auto Renewal Plan,3,2026-03,291,126,874.5,6.94047619
USG_1140420,Weekly 1GB Auto Renewal Plan,3,2026-04,257,104,771.15,7.41490385
USG_1140420,Weekly 1GB Auto Renewal Plan,3,2026-05,221,92,663.75,7.21467391
USG_1140420,Weekly 1GB Auto Renewal Plan,3,2026-06,191,81,573.15,7.07592593
USG_1140420,Weekly 1GB Auto Renewal Plan,3,2026-07,225,93,675.15,7.25967742
USG_1140420,Weekly 1GB Auto Renewal Plan,3,2026-08,190,94,570.45,6.06861702
USG_1140430,Monthly 2GB Auto Renewal Plan,5,2026-03,5161,3397,25815.1662,7.5994013
USG_1140430,Monthly 2GB Auto Renewal Plan,5,2026-04,5079,3277,25354.9176,7.73723454
USG_1140430,Monthly 2GB Auto Renewal Plan,5,2026-05,4964,3224,24799.1183,7.69203421
USG_1140430,Monthly 2GB Auto Renewal Plan,5,2026-06,4322,3011,21590.9987,7.17070697
USG_1140430,Monthly 2GB Auto Renewal Plan,5,2026-07,4471,2925,22324.4276,7.63228294
USG_1140430,Monthly 2GB Auto Renewal Plan,5,2026-08,3595,2615,17962.3465,6.86896616
USG_1140510,MBB 50MB Monthly Auto Renewal Plan,0.5,2026-03,639,639,317.775,0.49730047
USG_1140510,MBB 50MB Monthly Auto Renewal Plan,0.5,2026-04,627,605,311.0276,0.51409521
USG_1140510,MBB 50MB Monthly Auto Renewal Plan,0.5,2026-05,570,545,284.55,0.52211009
USG_1140510,MBB 50MB Monthly Auto Renewal Plan,0.5,2026-06,533,532,266.65,0.5012218
USG_1140510,MBB 50MB Monthly Auto Renewal Plan,0.5,2026-07,577,559,288.05,0.51529517
USG_1140510,MBB 50MB Monthly Auto Renewal Plan,0.5,2026-08,550,549,274.525,0.50004554
USG_1140520,MBB 300MB Monthly Auto Renewal Plan,2,2026-03,237,237,472.9,1.99535865
USG_1140520,MBB 300MB Monthly Auto Renewal Plan,2,2026-04,230,224,460,2.05357143
USG_1140520,MBB 300MB Monthly Auto Renewal Plan,2,2026-05,222,212,444.2,2.09528302
USG_1140520,MBB 300MB Monthly Auto Renewal Plan,2,2026-06,215,215,430.1,2.00046512
USG_1140520,MBB 300MB Monthly Auto Renewal Plan,2,2026-07,208,202,416,2.05940594
USG_1140520,MBB 300MB Monthly Auto Renewal Plan,2,2026-08,178,178,356,2
USG_1140750,Data Loan - 50MB - 1 Day,0.2,2026-03,35945,11632,7199.66,0.61895289
USG_1140750,Data Loan - 50MB - 1 Day,0.2,2026-04,38437,12765,7687.4,0.60222483
USG_1140750,Data Loan - 50MB - 1 Day,0.2,2026-05,35174,11200,7034.8,0.62810714
USG_1140750,Data Loan - 50MB - 1 Day,0.2,2026-06,32825,11273,6565,0.58236494
USG_1140750,Data Loan - 50MB - 1 Day,0.2,2026-07,32865,10523,6571.1825,0.62445904
USG_1140750,Data Loan - 50MB - 1 Day,0.2,2026-08,26649,9768,5329.8,0.54563882
USG_1140760,Data Loan - 1GB - 1 Day,1,2026-03,14954,7163,14975.95,2.09073712
USG_1140760,Data Loan - 1GB - 1 Day,1,2026-04,15973,7865,15973,2.03089638
USG_1140760,Data Loan - 1GB - 1 Day,1,2026-05,14817,7041,14817,2.10438858
USG_1140760,Data Loan - 1GB - 1 Day,1,2026-06,14016,7085,14016,1.97826394
USG_1140760,Data Loan - 1GB - 1 Day,1,2026-07,13702,6520,13700.3848,2.10128601
USG_1140760,Data Loan - 1GB - 1 Day,1,2026-08,10461,5834,10461,1.79310936
USG_1140770,Data Loan - 1GB - 7 Days,3,2026-03,3037,1824,9123,5.00164474
USG_1140770,Data Loan - 1GB - 7 Days,3,2026-04,3480,2142,10440,4.87394958
USG_1140770,Data Loan - 1GB - 7 Days,3,2026-05,3143,1874,9429,5.03148346
USG_1140770,Data Loan - 1GB - 7 Days,3,2026-06,3118,1979,9354,4.72662961
USG_1140770,Data Loan - 1GB - 7 Days,3,2026-07,2703,1660,8106,4.88313253
USG_1140770,Data Loan - 1GB - 7 Days,3,2026-08,2209,1467,6627,4.51738241
USG_1140830,MBB 100 MB Daily - 200 Bz,0.2,2026-03,32449,9186,6486.8667,0.70616881
USG_1140830,MBB 100 MB Daily - 200 Bz,0.2,2026-04,32980,9043,6581.2221,0.72776978
USG_1140830,MBB 100 MB Daily - 200 Bz,0.2,2026-05,30638,8453,6111.7588,0.72302837
USG_1140830,MBB 100 MB Daily - 200 Bz,0.2,2026-06,27987,8228,5590.9343,0.67950101
USG_1140830,MBB 100 MB Daily - 200 Bz,0.2,2026-07,26817,7674,5335.6215,0.69528557
