product_id,product_name,price,validity_in_days,product_type,unit_in_mb,units_minutes,type,units_sms,dial,owner,message_english,message_arabic,ui_product_id,ui_msg_id,product_flag,product_feature,channel,autobonus,whitelist
USG_1247530,Baqati Gold - Booster - 25GB,1.000,30.000,DATA,25600.000,,Addon,0.000,*171*435#,Omantel,,,,,BTL,,SMS,online,no
USG_1221950,Baqati ISD 800 Minutes,3.000,30.000,VOICE,0.000,800.000,Addon,0.000,*171*406#,Omantel,"Elevate your calls! Baqati ISD 800 Mins for 30 days, just 3.0 RO. Limited-time offer! Grab it now! Dial *171*406#.",ارتقِ بمكالماتك! باقتي المكالمات الدولية 800 دقيقة لمدة 30 يوماً بـ 3.0 ريال فقط. عرض لفترة محدودة! احجز الآن! اطلب *171*406#,8494,2000,ATL,Auto renewal,SMS,online,yes
USG_1248030,Baqati Silver - Khareef Data - 20GB - 12 Months - (New and Upgrade Customers),0.000,365.000,DATA,20480.000,,Addon,0.000,*171*441#,Omantel,,,,,BTL,,SMS,online,no
USG_1248100,Baqati Platinum - Khareef Data - 50GB - 1 Month - (Existing customers),1.000,30.000,DATA,51200.000,,Addon,0.000,*171*448#,Omantel,,,,,BTL,,SMS,online,no
USG_1110050,Expat National Day,1.000,1.000,DATA,1024.000,50.000,Addon,0.000,*171*449#,Omantel,"Hurry! Get 1GB Data with Omantel's Expat National Day for just 1 RO, valid 1 day. Grab this limited-time offer now! Dial *171*449#.",سارع! عرض Omantel الوطني للمغتربين: 1GB بيانات ليوم بـ 1 ر.ع. عرض محدود، لا تفوت الفرصة! اشترك بـ *171*449#,8844,2525,ATL,0,SMS,online,yes
USG_1248070,Baqati Bronze Plus - Khareef Data - 10GB - 1 Month - (Existing customers),1.000,30.000,DATA,10240.000,,Addon,0.000,*171*445#,Omantel,,,,,BTL,,SMS,online,no
USG_1270960,Jawazak inflight bundle,5.000,1.000,ROAMING,0.000,0.000,Addon,0.000,*171*418#,Omantel,"Stay connected in-flight! Jawazak Inflight Bundle for just 5.0 RO, valid 1 day. Premium roaming addon! Grab it now! Dial *171*418#",ابقَ على اتصال أثناء الطيران! باقة جوازك للطائرة بـ 5.0 ريال فقط، صالحة ليوم واحد. إضافة تجوال مميزة! احجز الآن! اطلب *171*418#,8506,2012,ATL,Jawazak inflight,SMS,online,yes
USG_1270700,6 OMR-2GB_15 min_3 Day - GCC,6.000,3.000,ROAMING,2048.000,15.000,Addon,0.000,*171*413#,Omantel,"Omantel's GCC ROAMING: 2GB data + 15min for 3 days, only 6 RO! Grab it now! Dial *171*413#. Limited offer!",عرض خاص من عمانتل: باقة التجوال 2GB و15 دقيقة بـ6 ر.ع لـ3 أيام! سارع واطلب *171*413#. لا تفوت الفرصة!,8501,2007,ATL,GCC Roaming,SMS,online,yes
USG_1274490,baqati 22-12 months,22.000,0.000,COMBO,51200.000,0.000,Base_Plan,0.000,*171*704#,omantel,"Unlock more with Bagati 22! Enjoy 50GB data, Unlimited local minutes, 100 international minutes, Free data rollover, and a 2GB Smart SIM bonus for just OMR 22. Dial *171*704# and subscribe today!",اكتشف المزيد مع باقتي 22! استمتع بـ50 جيجابايت من البيانات، ودقائق محلية غير محدودة، و100 دقيقة دولية، وترحيل مجاني للبيانات، و2 جيجابايت إضافية لشريحة Smart SIM مقابل 22 ريال عماني فقط. اطلب *171*704# واشترك اليوم!,9381,3585,MAIN_PLAN,12 Month Contract,SMS,online,yes
USG_1274470,baqati 14-12 months,14.000,0.000,COMBO,24576.000,0.000,Base_Plan,0.000,*171*702#,omantel,"Experience more with Bagati 14! Enjoy 24GB data, Unlimited local minutes, 50 international minutes, Free data rollover, and a 2GB Smart SIM bonus for just OMR 14. Dial *171*702# and subscribe today!",استمتع بالمزيد مع باقتي 14! احصل على 24 جيجابايت من البيانات، ودقائق محلية غير محدودة، و50 دقيقة دولية، وترحيل مجاني للبيانات، و2 جيجابايت إضافية لشريحة Smart SIM مقابل 14 ريال عماني فقط. اطلب *171*702# واشترك اليوم!,9379,3583,MAIN_PLAN,12 Month Contract,SMS,online,yes
USG_1221010,1 OMR-250 Min I/B/P- With auto renewal,1.000,30.000,VOICE,0.000,250.000,Addon,0.000,*171*405#,Omantel,"Hurry! Get Omantel's 250 Mins VOICE Auto-Renewal plan for 30 days, only 1 RO. Don't miss out! Dial *171*405#",فرصة عمانتل الذهبية! 250 دقيقة بـ1 ر.ع فقط لـ30 يوم. اغتنمها الآن! اطلب *171*405# قبل فوات الأوان!,8493,1999,ATL,Non Auto renewal,SMS,online,yes
USG_122020,Postpaid BTL GCC voice roaming minutes - 25 minutes - 1 day - 500 BZ,0.500,1.000,ROAMING,0.000,25.000,Addon,0.000,*171*431#,Omantel,Urgent! Get 25 GCC Roaming Voice Mins for 1 day at only 0.5 RO. Don't miss out on seamless connectivity. Dial *171*431# now!,عمانتل: 25 دقيقة تجوال GCC بـ 0.5 ر.ع. ليوم واحد! عرض لا يفوت. سارع بالاشتراك: *171*431#.,8842,2522,BTL,GCC voice roaming,SMS,online,yes
USG_1274190,Data Rollover - Green,1.000,30.000,DATA,,,Addon,0.000,*171*454#,Omantel,,,,,ATL,,SMS,online,no
USG_1248060,Baqati Green - Khareef Data - 5GB - 1 Month - (Existing customers),1.000,30.000,DATA,5120.000,,Addon,0.000,*171*444#,Omantel,,,,,BTL,,SMS,online,no
USG_1247020,Postpaid BTL Unlimited National data - 1 day - 1 OMR,1.000,1.000,DATA,99999.000,0.000,Addon,0.000,*171*429#,Omantel,"UNLIMITED National Data! Get unlimited GB for 1 day, just 1.0 RO. Don't miss out on this premium offer! Dial *171*429# now. Hurry!",عمانتل تقدم: بيانات وطنية غير محدودة ليوم واحد بـ 1 ر.ع فقط! لا تفوت الفرصة، سارع بالاشتراك الآن! اطلب *171*429#.,8840,2520,BTL,unlimted data,SMS,online,yes
USG_1273280,Postpaid BTL - World Roaming,4.000,7.000,ROAMING,5120.000,0.000,Addon,0.000,*171*433#,Omantel,"Hurry! Get 5GB World Roaming for 7 days, just 4 RO. Don't miss this amazing offer! Dial *171*433# now to stay connected!",حزمة تجوال عالمي 5GB من عمانتل بـ 4 ر.ع. فقط! صالح 7 أيام. لا تفوت الفرصة! اشترك فوراً *171*433#.,8173,2524,BTL,World Roaming,SMS,online,yes
USG_1221810,UAE-Unlimited weekly,3.000,7.000,VOICE,0.000,99999.000,Addon,0.000,*171*421#,Omantel,"Hurry! Get UAE-Unlimited weekly: Unlimited minutes for 7 days, just 3.0 RO. Don't miss out! Dial *171*421# now!",لا تفوت عرض عمانتل المميز! باقة الإمارات بلا حدود الأسبوعية: مكالمات لا نهائية لـ 7 أيام بـ 3 ر.ع. سارع واشترك #*171*421#,8509,2015,ATL,0,SMS,online,yes
USG_1221940,Baqati ISD 800 Minutes ? Auto Renewal,3.000,30.000,VOICE,0.000,800.000,Addon,0.000,*171*407#,Omantel,Grab Omantel's Baqati ISD! Get 800 Mins for just 3 RO/30 days. Premium VOICE Addon. Don't miss out! Dial *171*407# now.,عرض باقاتي ISD! احصل على 800 دقيقة دولية بـ 3 ر.ع فقط لـ 30 يوم! سارع، لا تفوت الفرصة! اشترك الآن: *171*407#,8495,2001,ATL,Non Auto renewal,SMS,online,yes
USG_1248020,Baqati Bronze Plus - Khareef Data - 10GB - 12 Months - (New and Upgrade Customers),0.000,365.000,DATA,10240.000,,Addon,0.000,*171*440#,Omantel,,,,,BTL,,SMS,online,no
USG_1244220,3 OMR-2GB-weekly,3.000,7.000,DATA,2048.000,0.000,Addon,0.000,*171*411#,Omantel,"Premium 3 OMR-2GB-weekly Addon! 2GB data, 3 RO, 7 days validity. Don't miss out! Grab this urgent offer now! Dial *171*411#",لا تفوت! باقة بيانات 2GB بصلاحية 7 أيام بـ 3 ر.ع فقط! العرض محدود، سارع بالاشتراك الآن! اطلب #411*171*.,8499,2005,ATL,0,SMS,online,yes
USG_1222030,Postpaid BTL GCC voice roaming minutes - 50 minutes - 3 day - 1 OMR,1.000,3.000,ROAMING,0.000,50.000,Addon,0.000,*171*430#,Omantel,"Experience 50 GCC Voice ROAMING mins for 3 days, just 1 RO! Limited-time offer for premium connectivity. Dial *171*430#. Don't miss out!",سارع! لا تفوت فرصة 50 دقيقة تجوال صوتي بـ 1 ر.ع لـ 3 أيام. عرض محدود. اطلب *171*430# الآن!,8841,2521,BTL,GCC  voice roaming,SMS,online,yes
USG_1222100,Jawazak Voice - 3,3.000,7.000,ROAMING,0.000,25.000,Addon,0.000,*171*463#,Omantel,Jawazak Voice-3 ROAMING! Get 25min for 7 days at 3 RO. Limited-time offer! Dial *171*463# now!,فرصة لا تعوض! استمتع بـ 25 دقيقة تجوال مع باقة جوازك الصوتي 3 بـ 3 ر.ع فقط لمدة 7 أيام. سارع واشترك الآن! اطلب *171*463#,8852,2533,ATL,0,SMS,online,yes
USG_1248040,Baqati Gold - Khareef Data - 30GB - 12 Months - (New and Upgrade Customers),0.000,365.000,DATA,30720.000,,Addon,0.000,*171*442#,Omantel,,,,,BTL,,SMS,online,no
USG_1221800,UAE-100 minutes-weekly,1.000,7.000,VOICE,0.000,100.000,Addon,0.000,*171*420#,Omantel,Hurry! Get UAE-100 mins weekly VOICE Addon! Enjoy 100 min for just 1 RO valid 7 days. Dial *171*420# now! Don't miss out!,اغتنم! باقة الإمارات الأسبوعية: 100 دقيقة بـ1 ر.ع. صالحة 7 أيام. عرض محدود! اشترك فوراً بـ *171*420#.,8508,2014,ATL,0,SMS,online,yes
USG_1270710,10 OMR-4GB_30 min_7 Day-GCC,10.000,7.000,ROAMING,4096.000,30.000,Addon,0.000,*171*414#,Omantel,Omantel GCC Roaming: 10 OMR-4GB_30 min_7 Day-GCC! Get 4GB data + 30 min for 7 days for 10 RO. Grab it now! Dial *171*414#.,باقة تجوال مميزة! 4GB و 30 دقيقة بـ10 ر.ع فقط لـ7 أيام. سارع ولا تفوّت العرض! اطلب *171*414#.,8502,2008,ATL,GCC Roaming,SMS,online,yes
USG_1246990,Postpaid BTL Unlimited Youtube - 1 day - 500 BZ,0.500,1.000,DATA,99999.000,0.000,Addon,0.000,*171*427#,Omantel,"Unleash Unlimited YouTube for 1 day, just 0.5 RO! Stream endless DATA. Limited-time offer! Don't miss out, dial *171*427# now!",حصرياً! يوتيوب لا محدود ليوم بـ 500 بيسة فقط من عمانتل. لا تفوت الفرصة! اشترك الآن: *171*427#,8838,2518,BTL,unlimted youtube,SMS,online,yes
USG_1271760,15 OMR-2GB_15 min_7 Day,15.000,7.000,ROAMING,2048.000,15.000,Addon,0.000,*171*415#,Omantel,"Unlock Omantel's Premium Roaming! Get 2GB data & 15 mins for 7 days, only 15 RO. Hurry, limited offer! Dial *171*415# now! Don't miss out!",حصرياً من Omantel! باقة تجوال فاخرة: 2GB و15 دقيقة بـ15 ر.ع لـ7 أيام. سارع واطلب *171*415# الآن!,8503,2009,ATL,0,SMS,online,yes
USG_1271770,24 OMR-4GB_30 min_30 Day,24.000,30.000,ROAMING,4096.000,30.000,Addon,0.000,*171*416#,Omantel,Omantel's 24 RO ROAMING Addon: Get 4GB + 30 min for 30 days! Limited-time offer! Dial *171*416# now. Don't miss out!,عرض تجوال Omantel المذهل! 4GB + 30 دقيقة بـ 24 ر.ع صالح 30 يوم. سارع! اطلب *171*416#.,8504,2010,ATL,0,SMS,online,yes
USG_1273990,Roam Pass - 4,4.000,7.000,ROAMING,5120.000,15.000,Addon,0.000,*171*462#,Omantel,Limited Offer! Omantel's Roam Pass - 4: 5GB Data + 15min ROAMING for 4.0 RO/7 days. Act fast! Dial *171*462# now! Don't miss out!,عمانتل: باقة Roam Pass-4 لتجوالك! 5GB + 15 دقيقة لـ7 أيام بـ4 ر.ع فقط. سارع! اغتنم الفرصة واطلب *171*462#,8851,2532,ATL,0,SMS,online,yes
USG_1247520,Baqati Silver - Booster - 20GB,1.000,30.000,DATA,20480.000,,Addon,0.000,*171*437#,Omantel,,,,,BTL,,SMS,online,no
USG_1274500,baqati 28-12 months,28.000,0.000,COMBO,76800.000,0.000,Base_Plan,0.000,*171*705#,omantel,"Upgrade to Bagati 28! Enjoy 75GB data, Unlimited local minutes, 200 international minutes, Free data rollover, and a 2GB Smart SIM bonus for just OMR 28. Dial *171*705# and subscribe today!",قم بالترقية إلى باقتي 28! استمتع بـ75 جيجابايت من البيانات، ودقائق محلية غير محدودة، و200 دقيقة دولية، وترحيل مجاني للبيانات، و2 جيجابايت إضافية لشريحة Smart SIM مقابل 28 ريال عماني فقط. اطلب *171*705# واشترك اليوم!,9382,3586,MAIN_PLAN,12 Month Contract,SMS,online,yes
USG_1220480,5-OMR-180 Min-Non Auto renewal,5.000,30.000,VOICE,0.000,180.000,Addon,0.000,*171*401#,Omantel,Hurry! Omantel's 5 OMR VOICE plan: 180 Mins for 30 days. Limited offer! Grab yours now! Dial *171*401#.,عرض حصري من أومنتل! 180 دقيقة صوتية بـ 5 ر.ع فقط، صالحة 30 يومًا. سارع واغتنم الفرصة الآن! للاشتراك: *171*401#.,8488,1995,ATL,Non Auto renewal,SMS,online,yes
USG_1220550,5-OMR-180 Min-Auto renewal,5.000,30.000,VOICE,0.000,180.000,Addon,0.000,*171*402#,Omantel,Grab our 5-OMR-180 Min-Auto renewal VOICE addon! Enjoy 180 Mins for 30 days for 5 RO. Limited-time offer! Dial *171*402# now!,اقتنص عرض عمانتل الذهبي! 180 دقيقة مكالمات بـ 5 ر.ع فقط. صلاحية 30 يوم. سارع بالاشتراك: *171*402#.,8490,1996,ATL,Auto renewal,SMS,online,yes
USG_1247000,Postpaid BTL Unlimited Youtube - 2 days - 1 OMR,1.000,2.000,DATA,99999.000,0.000,Addon,0.000,*171*426#,Omantel,"Hurry! Enjoy Unlimited YouTube DATA for 2 days, just 1 RO! Dial *171*426# now. Don't miss out on this limited offer!",حصرياً من عمانتل! بيانات يوتيوب لا محدودة ليومين بـ1 ر.ع فقط. سارع بالاشتراك: *171*426# لا تفوت الفرصة!,8837,2517,BTL,unlimted youtube,SMS,online,yes
USG_1220770,50 International Minutes - One time,2.000,30.000,VOICE,0.000,50.000,Addon,0.000,*171*458#,Omantel,Grab Omantel's 50 International Minutes! Only 2 RO for 30 days. Enjoy 50 mins talk! Dial *171*458#. Limited-time offer! Don't miss out!,لا تفوّت! 50 دقيقة دولية بـ 2 ر.ع فقط، صالحة 30 يوم. عرض محدود جداً! سارع واطلب *171*458# الآن. تواصل بامتياز!,8847,2528,ATL,0,SMS,online,yes
USG_1247030,Postpaid BTL Unlimited National data - 2 days - 1 OMR,1.000,2.000,DATA,99999.000,0.000,Addon,0.000,*171*428#,Omantel,UNLIMITED national data for 2 days! Get this DATA Addon for just 1 RO. Don't miss out! Dial *171*428# now. Hurry!,عرض حصري من Omantel! بيانات وطنية غير محدودة ليوميْن بـ 1 ر.ع فقط. لا تفوت الفرصة، اشترك الآن *171*428#,8839,2519,BTL,unlimted data,SMS,online,yes
USG_1230130,2 OMR-Unlimited SMS,2.000,30.000,SMS,0.000,0.000,Addon,99999.000,*171*408#,Omantel,Unleash unlimited SMS! Get the 2 OMR-Unlimited SMS Addon for only 2.0 RO. Enjoy 30 days of endless texting. Hurry! Dial *171*408# now!,سارع! احصل على باقة 2 OMR-Unlimited SMS. رسائل نصية لا محدودة بـ2 ر.ع. فقط لمدة 30 يوماً. عرض لا يفوت! اشترك الآن: *171*408#,8496,2002,ATL,0,SMS,online,yes
USG_1274230,Data Rollover - Platinum,1.000,30.000,DATA,,,Addon,0.000,*171*450#,Omantel,,,,,ATL,,SMS,online,no
USG_1221830,Zong-300 min-weekly,3.000,7.000,VOICE,0.000,300.000,Addon,0.000,*171*423#,Omantel,Get 300 VOICE mins for 7 days with Zong-300 min-weekly at 3.0 RO! Limited-time offer. Dial *171*423# to activate now!,عروض Omantel! باقة Zong المميزة: 300 دقيقة بـ 3 ر.ع لمدة 7 أيام. لا تفوت! اطلب *171*423# الآن!,8511,2017,ATL,0,SMS,online,yes
USG_1274510,baqati 38-12 months,38.000,0.000,COMBO,102400.000,0.000,Base_Plan,0.000,*171*706#,omantel,"Connect smarter with Bagati 38! Enjoy 100GB data, Unlimited local minutes, 300 international minutes, Free data rollover, and a 2GB Smart SIM bonus for just OMR 38. Dial *171*706# and subscribe today!",اتصل بذكاء مع باقتي 38! استمتع بـ100 جيجابايت من البيانات، ودقائق محلية غير محدودة، و300 دقيقة دولية، وترحيل مجاني للبيانات، و2 جيجابايت إضافية لشريحة Smart SIM مقابل 38 ريال عماني فقط. اطلب *171*706# واشترك اليوم!,9383,3587,MAIN_PLAN,12 Month Contract,SMS,online,yes
USG_1222110,Internation 50 Mins,3.000,30.000,VOICE,0.000,50.000,Addon,0.000,*171*456#,Omantel,"Omantel: Internation 50 Mins VOICE! Get 50 mins for just 3.0 RO, valid 30 days. Dial *171*456#. Limited-time! Don't miss out!",سارع! احصل على 50 دقيقة دولية بـ 3 ر.ع فقط، صلاحية 30 يوم. لا تفوت الفرصة! اطلب الآن *171*456#,8845,2526,ATL,0,SMS,online,yes
USG_1247500,Baqati Green - Booster - 7GB,1.000,30.000,DATA,7168.000,,Addon,0.000,*171*438#,Omantel,,,,,BTL,,SMS,online,no
USG_1274480,baqati 18-12 months,18.000,0.000,COMBO,30720.000,0.000,Base_Plan,0.000,*171*703#,omantel,"Your perfect plan is Bagati 18! Enjoy 30GB data, Unlimited local minutes, 75 international minutes, Free data rollover, and a 2GB Smart SIM bonus for just OMR 18. Dial *171*703# and subscribe today!",خطتك المثالية هي باقتي 18! استمتع بـ30 جيجابايت من البيانات، ودقائق محلية غير محدودة، و75 دقيقة دولية، وترحيل مجاني للبيانات، و2 جيجابايت إضافية لشريحة Smart SIM مقابل 18 ريال عماني فقط. اطلب *171*703# واشترك اليوم!,9380,3584,MAIN_PLAN,12 Month Contract,SMS,online,yes
USG_1244330,1 OMR -1 GB-Daily,1.000,1.000,DATA,1024.000,0.000,Addon,0.000,*171*412#,Omantel,"Hurry! Get 1GB Daily DATA for only 1 RO, valid 1 day. Limited-time offer! Dial *171*412# now. Don't miss out!",لا تفوّت! 1GB بيانات حصري ليوم واحد بـ 1 ر.ع. اغتنم العرض المحدود الآن! سارع واطلب *171*412#.,8500,2006,ATL,0,SMS,online,yes
USG_1247540,Baqati Platinum - Booster - 60GB,1.000,30.000,DATA,61440.000,,Addon,0.000,*171*436#,Omantel,,,,,BTL,,SMS,online,no
USG_1274220,Data Rollover - Gold,1.000,30.000,DATA,,,Addon,0.000,*171*451#,Omantel,,,,,ATL,,SMS,online,no
USG_1274000,Jawazak World - 5 OR,5.000,3.000,ROAMING,4096.000,15.000,Addon,0.000,*171*459#,Omantel,Don't miss out on Jawzak World - 5 OR ROAMING! Get 4GB & 15min for 3 days. Limited-time offer! Dial *171*459# now!,عاجل! جوازك حول العالم بـ5 ر.ع: 4GB و15 دقيقة تجوال لـ3 أيام. عرض حصري لا يفوتك! سارع بالاشتراك: *171*459#,8848,2529,ATL,0,SMS,online,yes
USG_1274460,baqati 11-no contract,11.000,0.000,COMBO,20480.000,1000.000,Base_Plan,0.000,*171*701#,omantel,"Stay connected with Bagati 11. Enjoy 20GB data, 1000 local minutes, 25 international minutes, 2GB data rollover every month, and 2GB Smart SIM bonus for just OMR 11. Dial *171*701# and subscribe today!",ابقَ على اتصال مع باقتي 11. استمتع بـ20 جيجابايت من البيانات، و1000 دقيقة محلية، و25 دقيقة دولية، و2 جيجابايت ترحيل بيانات شهريًا، و2 جيجابايت إضافية لشريحة Smart SIM مقابل 11 ريال عماني فقط. اطلب *171*701# واشترك اليوم!,9378,3582,MAIN_PLAN,No Contract,SMS,online,yes
USG_1221830,Zong Offer weekly pack,2.000,7.000,VOICE,0.000,300.000,Addon,0.000,*171*457#,Omantel,"Exclusive Zong Offer weekly pack! Get 300 min for just 2 RO, valid 7 days. Your premium VOICE pack. Don't miss out! Dial *171*457#.",عرض Zong الأسبوعي من عمانتل: استمتع بـ300 دقيقة صوتية لمدة 7 أيام! فقط بـ 2 ر.ع. سارع واشترك الآن #457*171*.,8846,2527,ATL,0,SMS,online,yes
USG_1220810,1 OMR-250 Min I/B/P- Without auto renewal,1.000,30.000,VOICE,0.000,250.000,Addon,0.000,*171*404#,Omantel,Limited Offer! Get 250 VOICE Mins valid 30 days for just 1 RO! Don't miss out! Dial *171*404# to activate.,لا تفوّت! ٢٥٠ دقيقة مكالمات بـ١ ر.ع. فقط، صالحة لـ٣٠ يوم. اغتنم الفرصة واطلب *171*404# الآن!,8492,1998,ATL,Auto renewal,SMS,online,yes
USG_1274210,Data Rollover - Silver,1.000,30.000,DATA,,,Addon,0.000,*171*452#,Omantel,,,,,ATL,,SMS,online,no
USG_1270690,4 OMR-1GB-1 Day-GCC,4.000,1.000,ROAMING,1024.000,0.000,Addon,0.000,*171*417#,Omantel,Exclusive ROAMING! Get 1GB data for 1 Day in GCC for just 4 RO. Don't miss out! Dial *171*417# now! Limited-time offer!,عرض تجوال GCC حصري من Omantel! احصل على 1GB بيانات بـ 4 ر.ع. ليوم واحد. سارع، العرض محدود! اطلب *171*417#.,8505,2011,ATL,GCC Roaming,SMS,online,yes
USG_1221820,UAE-1500 min-Monthly,5.000,30.000,VOICE,0.000,1500.000,Addon,0.000,*171*422#,Omantel,Exclusive UAE-1500 min-Monthly: Get 1500 VOICE mins for 5 RO valid 30 days! Limited-time offer! Dial *171*422# now! Don't miss out!,عرض عمانتل لـ UAE! احصل على 1500 دقيقة مكالمات بـ 5.0 ر.ع صالحة 30 يوماً. اغتنم الفرصة! اشترك: *171*422#,8510,2016,ATL,0,SMS,online,yes
USG_1222110,3 OMR - IDD Voice World Calling,3.000,30.000,VOICE,0.000,0.000,Addon,0.000,*171*425#,Omantel,3 OMR - IDD Voice World Calling! Get 30 days of global talk for just 3 RO. Limited offer! Dial *171*425#. Hurry!,لا تفوت! باقة مكالمات دولية مميزة من عمانتل بـ 3 ر.ع فقط. استمتع بـ 30 يوم اتصال. سارع بالاشتراك! اطلب *171*425#.,8836,2516,BTL,International world calling,SMS,online,yes
USG_1273980,Roam Pass - 2,2.000,3.000,ROAMING,2048.000,10.000,Addon,0.000,*171*461#,Omantel,"Limited-time! Elevate your travel with Roam Pass - 2! Get 2.00GB + 10min ROAMING for just 2.0 RO, valid 3 days. Dial *171*461# now! Grab it!",عاجل! باقة Roam Pass 2 من عمانتل: 2GB و10د بـ 2ر.ع. لـ3أيام. لا تفوت! اطلب *171*461# الآن!,8850,2531,ATL,0,SMS,online,yes
USG_1248090,Baqati Gold - Khareef Data - 30GB - 1 Month - (Existing customers),1.000,30.000,DATA,30720.000,,Addon,0.000,*171*447#,Omantel,,,,,BTL,,SMS,online,no
USG_1243630,5 OMR-5 GB-Weekly,5.000,7.000,DATA,5120.000,0.000,Addon,0.000,*171*409#,Omantel,"Unlock 5GB DATA for 7 days with the premium 5 OMR-5 GB-Weekly plan, only 5 RO! Limited offer, don't miss out! Dial *171*409# now!",احصل على 5 جيجابايت بيانات لمدة 7 أيام بـ 5 ر.ع فقط! عرض Omantel الأسبوعي لا يُفوّت. سارع بالاشتراك الآن! اطلب #409*171*.,8497,2003,ATL,0,SMS,online,yes
USG_1248050,Baqati Platinum - Khareef Data - 50GB - 12 Months - (New and Upgrade Customers),0.000,365.000,DATA,51200.000,,Addon,0.000,*171*443#,Omantel,,,,,BTL,,SMS,online,no
